"text","cmp_code"
"We will also restore the eligibility age for Old Age Security and the Guaranteed Income Supplement to 65, putting an average of $13,000 into the pockets of the lowest income Canadians each year, as they become seniors.","504"
"We will help to lift hundreds of thousands of seniors out of poverty by increasing the Guaranteed Income Supplement for single low-income seniors by ten percent.","504"
"This will give one million of our most vulnerable seniors who are often women almost $1,000 more each year.","504"
"Because many seniors live on fixed incomes, we will introduce a new Seniors Price Index to make sure that Old Age Security and the Guaranteed Income Supplement benefits keep up with seniors' actual rising costs.","504"
"We will also make the Compassionate Care Benefit more flexible and easier to access, so that those who are caring for seriously ill family members not just family members who are at risk of death can access six months of benefits.","504"
"AFFORDABLE HOUSING",NA
"We will make it easier for Canadians to find an affordable place to call home.","503"
"Today, one in four Canadian households is paying more than it can afford for housing, and one in eight cannot find affordable housing that is safe, suitable, and well maintained.","503"
"When affordable housing is in short supply, Canadians feel less secure and our whole economy suffers.","503"
"We will renew federal leadership in housing, starting with a new, ten-year investment in social infrastructure.","504"
"We will prioritize investments in affordable housing and seniors' facilities,","504"
"build more new housing units","504"
"and refurbish old ones,","504"
"give support to municipalities to maintain rent-geared-to-income subsidies in co-ops,","504"
"and give communities the money they need for Housing First initiatives that help homeless Canadians find stable housing.","504"
"We will encourage the construction of new rental housing by removing all GST on new capital investments in affordable rental housing.","504"
"This will provide $125 million per year in tax incentives to grow and renovate the supply of rental housing across Canada.","504"
"We will modernize the existing Home Buyers' Plan to allow Canadians impacted by sudden and significant life changes to buy a house without tax penalty.","504"
"This will ease the burden on Canadians facing job relocation, the death of a spouse, marital breakdown, or a decision to accommodate an elderly family member.","504"
"We will direct the Canada Mortgage and Housing Corporation and the new Canada Infrastructure Bank to provide financing to support the construction of new, affordable rental housing for middle- and low-income Canadians.","504"
"We will conduct an inventory of all available federal lands and buildings that could be repurposed,","504"
"and make some of these lands available at low cost for affordable housing in communities where there is a pressing need.","504"
"We will review escalating home prices in high-priced markets, like Toronto and Vancouver,","403"
"and consider all policy tools that could keep home ownership within reach for more Canadians.","504"
"We will also immediately restore the mandatory long-form census to ensure that decisions on housing are made using the best and most up-to-date data available.","303"
"POST-SECONDARY EDUCATION",NA
"We will make post-secondary education more affordable.","506"
"For too many Canadians, rising costs have made post-secondary education increasingly out of reach.","506"
"It is harder and harder for middle class families to save for their kids' education, while many lower-income families are not able to save at all.","506"
"At the same time, the federal government spends billions each year on non-refundable tax credits that offer little direct help for students when they need it.","506"
"We will provide direct help to students from low- and middle-income families to help them pay for their education and ensure that debt loads are manageable.","506"
"We will increase the maximum Canada Student Grant for low-income students to $3,000 per year for full-time students,","506"
"and to $1,800 per year for part-time students.","506"
"In addition, to help more students from middle class families qualify for Canada Student Grants, we will increase the income thresholds for eligibility, giving more Canadian students access to even larger grants.","506"
"This investment will be funded by cancelling the poorly targeted education and textbook tax credits.","506"
"The tuition tax credit will be maintained.","506"
"This will increase the level of non-repayable grant assistance to students by $750 million per year, rising to $850 million per year by 2019/20.","506"
"We will also make our student loan system more flexible.","506"
"We will ensure that no graduate with student loans will be required to make any repayment until they are earning an income of at least $25,000 per year.","506"
"This will be done by changing the income thresholds in the Repayment Assistance Plan for recent graduates.","506"
"The federal government will continue to pay the interest on student loans until graduates begin to earn sufficient incomes to take over their own payments and repay their own loans.","506"
"We will work with provinces and territories to ensure that they do not assume any additional costs,","301"
"and to make sure these investments go directly to students.","303"
"Appropriate compensation will be offered to provinces and territories that do not participate in the Canada Student Loan program.","301"
"We will also work collaboratively with provinces and territories","301"
"to improve promotion of RESPs and Canada Learning Bonds,","506"
"and to make registration simpler for all families.","303"
"We will invest $50 million in additional annual support to the Post-Secondary Student Support Program, which supports Indigenous students attending post-secondary education,","506"
"and will allow the program to grow in line with increasing demand.","506"
"A NEW HEALTH ACCORD",NA
"We will make home care more available,","504"
"prescription drugs more affordable,","504"
"and mental health care more accessible.","504"
"Canada's publicly-funded universal health care system is a source of pride for Canadians €“","601"
"and a source of economic security for the middle class and those working hard to join it.","706"
"When Canadians are in good physical and mental health, they are able to work better, be more productive, and contribute more fully to our economy while living healthier, happier lives.","706"
"Despite our health care system's value and importance, it has been more than a decade since a Canadian Prime Minister sat down with provincial and territorial Premiers to strengthen the program, and ensure that it can meet current needs and the challenges that come with an aging population.","301"
"We will restart that important conversation","301"
"and provide the collaborative federal leadership that has been missing during the Harper decade.","301"
"We will negotiate a new Health Accord with provinces and territories, including a long-term agreement on funding.","301"
"As an immediate commitment, we will invest $3 billion, over the next four years, to deliver more and better home care services for all Canadians.","504"
"This includes more access to high quality in-home caregivers,","504"
"financial supports for family care,","504"
"and, when necessary, palliative care.","504"
"To help families care for their loved ones at home, we will make the Employment Insurance Compassionate Care Benefit more flexible and easier to access, so that it provides help for more than just end-of-life care.","504"
"We will also develop a pan-Canadian collaboration on health innovation,","504"
"and will improve access to necessary prescription medications.","504"
"We will join with provincial and territorial governments to buy drugs in bulk, reducing the cost Canadian governments pay for these drugs, and making them more affordable for Canadians.","504"
"We will make high-quality mental health services more available to Canadians who need them, including our veterans and first responders.","504"
"To eliminate systemic barriers and deliver equality of opportunity to all Canadians living with disabilities, we will consult with provinces, territories, and other stakeholders to introduce a National Disabilities Act.","503"
"FIGHTING POVERTY",NA
"We will also lift more Canadians including children and seniors out of poverty.","503"
"Poverty and inequality are not just problems for individual Canadians all of Canada is affected.","503"
"For Canadians, poverty makes it more difficult to get and stay healthy, and more difficult to find and keep good work.","503"
"For Canada, the costs of poverty seen in higher health care costs and greater demand for social assistance are immense.","503"
"Our plan will lift Canadians out of poverty starting immediately after the next election.","504"
"We will introduce a new Canada Child Benefit.","504"
"Tax-free, tied to income and delivered monthly, this benefit provides greater support to those who need help most: single-parent families and low-income families.","504"
"It will lift 315,000 children out of poverty.","504"
"We will help to lift hundreds of thousands of seniors out of poverty by increasing the Guaranteed Income Supplement for single low-income seniors by ten percent.","504"
"This will give one million of our most vulnerable seniors who are often women almost $1,000 more each year.","504"
"And, as part of our new investment in social infrastructure, we will prioritize investments in affordable housing and seniors' facilities,","504"
"build more new housing units","504"
"and refurbish old ones,","504"
"give support to municipalities to maintain rent-geared-to-income subsidies in co-ops,","504"
"and give communities the money they need for Housing First initiatives that help homeless Canadians find stable housing.","504"
"INVESTING TO STRENGTHEN THE MIDDLE CLASS",NA
"Under Stephen Harper, Canada's economy has faltered, and our middle class now finds it harder and harder to make ends meet","305"
"It is time for smart, strategic investments that will turn our economy around and get it growing again.","410"
"Our plan will deliver the services we need,","504"
"create jobs,","410"
"and restore economic security to the middle class.","410"
"We will invest now in the projects our country needs and the people who can build them.","410"
"Interest rates are at historic lows, our current infrastructure is aging rapidly, and our economy is stuck in neutral.","410"
"Now is the time to invest.","410"
"We will run modest short-term deficits of less than $10 billion in each of the next two fiscal years to fund historic investments in infrastructure and our middle class.","409"
"After the next two fiscal years, the deficit will decline and our investment plan will return Canada to a balanced budget in 2019.","414"
"PUBLIC TRANSIT",NA
"We will invest in public transit to shorten commute times,","411"
"cut air pollution,","501"
"strengthen our communities,","606"
"and grow our economy.","410"
"Canadian cities have been growing at a rapid rate, but investment in public transit has not kept pace.","411"
"Stephen Harper's failure to invest has led to worsening traffic congestion, making it harder for families to spend time together","305"
"This gridlock also costs our economy billions of dollars in lost productivity each year.","305"
"We will get our communities moving again, by giving our provinces, territories, and municipalities the long-term, predictable federal funding they need to make transit plans a reality.","411"
"Over the next decade, we will quadruple federal investment in public transit, investing almost $20 billion more in transit infrastructure.","411"
"In communities all across Canada, transit projects are ready to go.","411"
"In British Columbia's Lower Mainland, for example, plans are in place to:  €¢ increase SeaBus service to every ten minutes during morning and afternoon rushes;","411"
"extend rapid transit service along Broadway, currently the busiest bus corridor in North America;","411"
"and  €¢ bring light rail transit to Surrey, one of the fastest growing parts of the region.","411"
"We will work with provinces and municipalities across the country to get projects like these done.","301"
"STRONGER COMMUNITIES",NA
"We will strengthen our communities by investing in the things that make them good places to live.","606"
"Investing in our communities is not just about creating good jobs and economic growth.","410"
"It is also about building communities that we are proud to call home.","606"
"With historic new investments in social infrastructure, we will achieve both.","504"
"We will improve quality of life for millions of Canadians by prioritizing investment in affordable housing,","504"
"seniors' facilities,","504"
"early learning and child care,","504"
"and cultural and recreational infrastructure.","411"
"We will also work with provinces, territories, and First Nations","301"
"to create a new National Early Learning and Child Care Framework, to ensure that affordable, high-quality, fully inclusive child care is available to all families who need it.","504"
"Over the next decade, we will invest almost $20 billion more in Canada's social infrastructure.","504"
"Toronto's Alexandra Park is an example of an urban community where investments in social infrastructure are already building a brighter future for its residents.","504"
"Aging community housing is being replaced with new affordable housing,","504"
"new commercial spaces,","411"
"and new parkland","411"
€“ all helping to grow this vibrant neighbourhood and improve the quality of life for all who call it home.","606"
"With a federal partner at the table, stories like the revitalization of Alexandra Park can happen in communities all across Canada.","504"
"GREENER COMMUNITIES",NA
"We will invest in sustainable infrastructure that makes our communities safer and more resilient.","501"
"Responsible governments do not walk away from challenges, or pretend they do not exist.","501"
"We will protect our communities from the challenges of climate change and grow our economy by making significant new investments in green infrastructure.","501"
"This includes investments in local water and wastewater facilities;","501"
"clean energy;","501"
"climate resilient infrastructure, including flood mitigation systems;","501"
"and infrastructure to protect against changing weather.","501"
"We will boost investment in green infrastructure by nearly $6 billion over the next four years,","501"
"and almost $20 billion over ten years.","501"
"When it comes to infrastructure that will help keep Canadians safe and better prepared for emergencies, local leaders know what needs to be done.","501"
"What they need is a federal partner willing to invest to help build stronger, more resilient communities.","501"
"In St. John's, this means upgrades to its wastewater plant.","501"
"In Trois-Rivi¨res, this means improving the Maples and Cardinal-Roy reservoirs,","501"
"and finding ways to mitigate the regular flooding of the Millette, Bettez, and Lacerte rivers.","501"
"In Calgary and Southern Alberta, this means investments in flood mitigation projects, to help protect local families and businesses.","501"
"NEW BUILDING CANADA FUND",NA
"We will make the New Building Canada Fund more focused","411"
"and more transparent.","303"
"The New Building Canada Fund is an important source of infrastructure funding for Canadian communities, but it has been hit by dramatic cuts and is heavily back-loaded, with more than 70 percent of its funding locked away until after 2019.","411"
"We will make the New Building Canada Fund more focused.","411"
"By providing significant, separate investments in public transit,","411"
"social infrastructure,","504"
"and green infrastructure,","501"
"we will enable the New Building Canada Fund to make greater investments in Canada's roads, bridges, transportation corridors, ports, and border gateways, helping Canada's manufacturers get their goods to market.","411"
"We will also make the fund more transparent, by providing clearer project criteria,","304"
"along with faster approval processes.","303"
"KEEPING OUR COMMITMENT TO COMMUNITIES",NA
"We will make sure that no money intended for investment in communities is allowed to lapse.","411"
"Too often, Stephen Harper budgeted funds for use in our communities, then let those dollars go unspent.","305"
"We will make sure our communities are not shortchanged.","411"
"Near the end of the fiscal year, we will automatically transfer any uncommitted federal infrastructure funds to municipalities, through a temporary top-up of the Gas Tax Fund.","411"
"This will ensure that no committed infrastructure money is allowed to lapse, but is instead always invested in our communities.","411"
"CANADA INFRASTRUCTURE BANK",NA
"We will establish the Canadian Infrastructure Bank to provide low-cost financing for new infrastructure projects.","411"
"The federal government can use its strong credit rating and lending authority to make it easier and more affordable for municipalities to build the projects their communities need.","411"
"Where a lack of capital represents a barrier to projects, the Canada Infrastructure Bank will provide loan guarantees and small capital contributions to provinces and municipalities to ensure that the projects are built.","411"
"JOB AND SKILLS TRAINING",NA
"We will help Canadians get the training they need to find and keep good jobs.","411"
"In a changing economy, Canadians need more opportunities to improve their skills and upgrade their credentials.","411"
"We will make it easier for adults to access training programs by increasing investment in skills training.","411"
"To help those receiving Employment Insurance get the training they need to rejoin the workforce, we will invest $500 million more each year in provincial and territorial Labour Market Development Agreements.","411"
"To help those who do not qualify for Employment Insurance or are not currently employed, we will invest an additional $200 million in training programs led by the provinces and territories.","411"
"We will also invest $50 million to renew and expand funding to the Aboriginal Skills and Employment Training Strategy,","411"
"and provide $25 million each year for training facilities, delivered in partnership with labour unions.","411"
"We will work with employers and workers to determine an appropriate apprenticeship ratio for all federal infrastructure projects.","411"
"Our total investment of an additional $775 million per year for job and skills training will help Canadians get the training they need to find and keep good jobs.","411"
"JOBS AND INNOVATION",NA
"We will kick-start investment in innovation to grow our economy and create good, middle class jobs.","402"
"To get our economy growing again, we need to immediately invest in helping our businesses and entrepreneurs including those in manufacturing become more innovative, competitive, and successful.","402"
"Over the next three years, we will:  invest $200 million each year in a new Innovation Agenda to significantly expand support for incubators and accelerators, as well as the emerging national network for business innovation and cluster support;","402"
"and   invest an additional $100 million each year in the Industrial Research Assistance Program, which has a proven track record of helping small- and medium-sized businesses to innovate and become world leaders.","402"
"AGRICULTURE",NA
"We will help Canada's agriculture sector be more innovative, safer, and stronger.","703"
"Canada's farmers and ranchers are the foundation of our food sector.","703"
"The work that they do to feed Canada and the world is vital, but government support is needed to help them with challenges ranging from transportation to water management to research and food safety.","703"
"To attract investment and create good jobs in food processing, we will invest $160 million, over four years, in an Agri-Food Value Added Investment Fund.","703"
"This will provide technical and marketing assistance to help food processors develop new value-added products that reflect changing tastes and market opportunities.","703"
"To support innovation in the agricultural sector, we will invest an additional $100 million, over four years, in agricultural research.","703"
"To better allocate research funding, we will establish a transparent process that involves food producers.","303"
"We will invest an additional $80 million, over four years, in the Canadian Food Inspection Agency for more food safety inspections of domestic and imported foods.","703"
"We will continue to defend Canadian interests during trade negotiations, including supply management.","703"
"We will also work with provinces, territories, and other willing partners,","301"
"to better address water and soil conservation and development issues, including investments in appropriate infrastructure.","501"
"LABOUR UNIONS",NA
"We will restore fair and balanced labour laws that acknowledge the important role of unions in Canada.","701"
"Labour unions play an important role in protecting the rights of workers and growing the middle class.","701"
"Under Stephen Harper, many of the fundamental labour rights that unions have worked so hard to secure have been rolled back, making it more difficult for workers to organize freely, bargain collectively in good faith, and work in safe environments.","305"
"We will restore fair and balanced labour laws that acknowledge the important role of unions in Canada,","701"
"and respect their importance in helping the middle class grow and prosper.","701"
"This begins with repealing Bills C-377 and C-525, legislation that diminishes and weakens Canada's labour movement.","701"
"Changes to labour laws should be based on evidence, not ideology, and made after legitimate consultation with unions.","701"
"We will reinstate a modernized and inclusive fair wages policy for federal procurement.","412"
"We are strongly committed to supporting and protecting workers' rights,","701"
"and as government, we will bargain in good faith with Canada's public sector unions.","701"
"LABOUR-SPONSORED FUNDS",NA
"We will reinstate the tax credit for contributions made to labour-sponsored funds, to help support economic growth and help Canadians save for their retirement.","504"
"In many parts of the country, labour-sponsored funds are used to help small- and medium-sized businesses get off the ground, creating jobs and economic growth.","410"
"In Quebec, they also serve as an important retirement savings vehicle.","504"
"There, labour-sponsored funds help 650,000 workers save for retirement,","504"
"while investing in Canada's entrepreneurs.","410"
"Even though we need to do more to encourage investment in new, job-creating businesses, and more to help Canadians save for their retirement, the Harper Convervatives are phasing out the tax credit for investments in labour-sponsored funds.","305"
"We will immediately reinstate the tax credit in full.","504"
"HELP THAT WORKS FOR MODERN CANADIAN FAMILIES",NA
"For most Canadians, balancing work and family life is a daily challenge.","504"
"As families change and adapt, so too should government.","504"
"It is time for programs and benefits that truly work for modern Canadian families.","504"
"MORE FLEXIBILITY FOR PARENTS",NA
"We will make parental benefits more flexible.","504"
"Every family's needs are different.","504"
"Canadian parents deserve a parental benefits plan that is flexible and able to adjust to their unique family and work circumstances.","504"
"We will introduce more flexible parental benefits that will:   allow parents to receive benefits in smaller blocks of time over a period of up to 18 months;","504"
"and   make it possible for parents to take a longer leave up to 18 months when combined with maternity benefits at a lower benefit level.","504"
"We will work with the provinces and territories to amend their labour codes, to reflect these new federal benefits.","301"
"This more flexible plan will benefit more Canadians, representing an investment of $125 million per year in the economic security of Canadian families.","504"
"SUPPORTING CAREGIVERS",NA
"We will make the compassionate care benefit easier to access, more flexible, and more inclusive.","504"
"Millions of Canadians provide compassionate care for seriously ill family members, but the benefits available through Employment Insurance can be difficult to access.","504"
"We will introduce a more flexible and inclusive benefit available to any Canadian who provides care to a seriously ill family member.","504"
"This expanded benefit will:  be easier to access applicants will still be expected to submit a medical certificate in order to qualify, but the benefit will be more inclusive;","504"
"be more flexible caregivers can claim the benefit in blocks of time over a year-long period, and family members can share the six months of benefits;","504"
"and  be more inclusive for example, those caring for a seriously ill adult family member who needs care beyond what can be provided during evenings and weekends, or those caring for a seriously ill child who cannot attend school for an extended period of time, will no longer be excluded from the benefit.","504"
"This enhanced compassionate care benefit represents an investment of $190 million per year in supporting Canada's compassionate caregivers.","504"
"FLEXIBLE WORKING CONDITIONS",NA
"We will make it easier for federally regulated workers to request more flexible working conditions.","701"
"Every family struggles with balancing work responsibilities and busy lives at home.","701"
"Leading by example, we will amend the Canada Labour Code to provide every federally regulated worker with the legal right to make a formal request to their employer without fear of reprisal for more flexible working conditions, such as flexible start and finish times, or the ability to work from home.","701"
"Similar to the system in place in the United Kingdom, where the vast majority of requests have been approved, employers will be required to formally respond to these requests.","701"
"We will also work with interested provinces and territories so that they can offer the same rights to workers under their jurisdiction.","301"
"EMPLOYMENT INSURANCE",NA
"We will fix Employment Insurance to better serve Canadians now,","504"
"and help boost Canada's economic growth now and in the long-term.","410"
"Employment Insurance provides economic security to Canadians when they need it most.","504"
"Those who have lost their jobs, through no fault of their own, or are out of work to raise children, provide care for a loved one, or get needed skills training, should not struggle to get the support they need.","504"
"We will strengthen the Employment Insurance system to make sure that it works for our economy and for all Canadians.","504"
"Starting in 2017, we will reduce the waiting period for benefits.","504"
"When a worker loses their job and applies for Employment Insurance, they will only be without income for one week, not two.","504"
"We will also reverse Stephen Harper's 2012 EI reforms that force unemployed workers to move away from their communities and take lower-paying jobs.","504"
"We will ensure that the Employment Insurance system is providing real income security to workers, including those with precarious work.","504"
"CHILDCARE",NA
"We will develop a child care framework that meets the needs of Canadian families, wherever they live.","504"
"Child care needs vary from family to family, and provinces and territories have responded to these needs in different ways.","301"
"A one-size-fits all national program particularly one that imposes pre-determined costs on other orders of government is impractical and unfair.","301"
"We will meet with provinces, territories, and Indigenous communities to begin work on a new National Early Learning and Child Care Framework, to deliver affordable, high-quality, flexible, and fully inclusive child care for Canadian families.","301"
"This work will begin in the first 100 days of a Liberal government","504"
"and will be funded through our investments in social infrastructure.","504"
"The framework we design together will be administered in collaboration with, and in respect of, provincial jurisdictions.","301"
"HEALTHIER KIDS",NA
"We will do our part to help Canadian children live healthier lives, with less exposure to known health risks.","504"
"To help families make better food choices, we will:  introduce new restrictions on the commercial marketing of unhealthy food and beverages to children, similar to those now in place in Quebec;","403"
"bring in tougher regulations to eliminate trans fats, similar to those in the U.S.,","403"
"and to reduce salt in processed foods;","403"
"and  improve food labels to give more information on added sugars and artificial dyes in processed foods.","403"
"To help Canadian children avoid and manage known health risks, we will increase funding to the Public Health Agency of Canada by $15 million in each of the next two years, to support a national strategy to increase vaccination rates","504"
"and raise awareness for parents, coaches, and athletes on concussion treatment.","504"
"This will be based on the best science","303"
"and will support existing provincial and territorial efforts.","301"
"We will introduce plain packaging requirements for tobacco products, similar to those in Australia and the United Kingdom.","403"
"HELPING EDUCATORS",NA
"We will introduce a new tax benefit to help teachers and early childhood educators with the cost of school supplies.","506"
"Teachers and early childhood educators work hard to provide a positive learning environment for our children, often paying out-of-pocket for classroom supplies.","506"
"It is a generous gesture that is not currently recognized by our federal tax system.","506"
"To help offset these costs, we will introduce a new Teacher and Early Childhood Educator School Supply Tax Benefit.","506"
"This new benefit will apply to the purchase of up to $1,000 worth of school supplies each year, providing a cash benefit of up to $150 each year for licensed and certified teachers and educators, starting in the 2015 tax year.","506"
"Because this benefit will operate as a refundable tax credit, all educators who have purchased educational materials qualify, regardless of their income level.","506"
"CANADA'S NORTH",NA
"We will invest in Canada's North, to help northern Canadians with the high cost of living,","504"
"and help our northern economies grow.","410"
"Canada's North is a vast and beautiful part of the world, home to a rich culture and tremendous economic potential.","410"
"Because of its isolation, however, it is also a very expensive place to live.","504"
"The Northern Residents Deduction was designed to help mitigate these higher costs, and help attract workers to the North.","504"
"Unfortunately, the deduction amount has not kept pace with inflation, making its help less valuable to those who need it.","504"
"To help northern residents with higher costs of living, and to help our northern economies grow, we will increase the residency component of the deduction by 33 percent to a maximum of $22 per day.","504"
"We will also index this benefit so that it keeps pace with inflation.","504"
"To ensure that northern families have access to affordable, healthy food, we will increase investments in the Nutrition North program by $40 million, over four years.","504"
"We will also work with northern and remote communities to ensure that the program is more transparent, effective, and accountable to northerners and other Canadians.","303"
"As part of new, ten-year investments in social infrastructure and green infrastructure, we will prioritize investment in affordable housing","504"
"and climate change preparedness, both of which are important to the quality of life for northern Canadians.","501"
"For residents in Canada's Northern Zone, our enhanced Northern Residents Deduction will provide a new annual maximum deduction of $8,000 per year, from the $6,022 currently available.","504"
"Those living in the Intermediate Zone will see their annual maximum deduction rise to $4,000 from $3,011 per year.","504"
"In total, this enhanced deduction represents a $50 million annual tax savings for Northern Canadians.","504"
"CHAPTER TWO",NA
"FAIR AND OPEN GOVERNMENT",NA
"OPEN AND TRANSPARENT GOVERNMENT",NA
"It is time to shine more light on government and ensure that it remains focused on the people it is meant to serve.","202"
"Government and its information should be open by default.","201"
"Data paid for by Canadians belongs to Canadians.","201"
"We will restore trust in our democracy, and that begins with trusting Canadians.","202"
"ACCESS TO INFORMATION",NA
"We will make government information more accessible.","201"
"Government data and information should be open by default, in formats that are modern and easy to use.","201"
"We will update the Access to Information Act to meet this standard.","201"
"We will make it easier for Canadians to access information by eliminating all fees, except for the initial $5 filing fee.","201"
"We will expand the role of the Information Commissioner, giving them the power to issue binding orders for disclosure.","201"
"We will ensure that Access to Information applies to the Prime Minister's and Ministers' Offices, as well as administrative institutions that support Parliament and the courts.","201"
"To ensure that the system continues to serve Canadians, we will undertake a full legislative review of the Access to Information Act every five years.","201"
"PERSONAL INFORMATION",NA
"We will make it easier for Canadians to access their own personal information.","201"
"Canadians have a right to access their personal information held by the government.","201"
"To make accessing this information faster, less complicated, and more affordable, we will create a simple, central, no-fee website for personal information requests.","303"
"We will back this up with a 30-day guarantee: should a request take longer than 30 days to fulfill, government must provide a written explanation for the delay to the applicant and the Privacy Commissioner.","303"
"OPEN DATA",NA
"We will embrace open data.","201"
"We will accelerate and expand open data initiatives,","201"
"and will make government data available digitally, so that Canadians can easily access and use it.","201"
"OPEN PARLIAMENT",NA
"We will disclose Parliamentary expenses","202"
"and make Parliament open by default.","202"
"The Liberal Party was the first to require its members to proactively disclose travel and hospitality expenses.","305"
"It is time for all Parliamentarians to do the same.","202"
"We will make government more accountable by requiring all Parliamentarians to disclose their expenses in a common and detailed manner, each quarter.","202"
"We will end the secrecy surrounding the Board of Internal Economy the group responsible for regulating spending by Members of Parliament.","202"
"Except in rare cases requiring confidentiality, meetings of this group will be open to the public.","202"
"OPEN AND FAIR ELECTIONS",NA
"Restoring integrity to our electoral process will improve the fairness of our elections,","202"
"and help to renew Canadians' faith in government.","202"
"GOVERNMENT ADVERTISING",NA
"We will ban partisan government ads.","202"
"The federal government should use advertising to promote government programs, not partisan agendas.","202"
"We will appoint an Advertising Commissioner to help the Auditor General oversee government advertising.","202"
"The Commissioner will review proposed messages to ensure that they are non-partisan and represent a legitimate public service announcement.","202"
"We will protect the integrity of our elections","202"
"and encourage more Canadians to vote.","202"
"Fair elections are the cornerstone of democracy.","202"
"We will give Elections Canada the resources it needs to investigate voter fraud and vote suppression, illegal financing, and other threats to free and fair elections.","202"
"We will help encourage more Canadians to vote, by removing restrictions on the ways in which the Chief Electoral Officer and Elections Canada can communicate with voters.","202"
"Any incident of electoral fraud must be prosecuted.","202"
"To that end, we will restore the independence of the Commissioner of Canada Elections, so that they are accountable to Parliament and not the government of the day.","202"
"POLITICAL FINANCING",NA
"We will close political financing loopholes.","202"
"When fixed election date legislation was introduced, it left a loophole that allows unlimited spending in the period before an election is called.","202"
"That creates an uneven playing field.","202"
"We will review the limits on how much political parties can spend during elections,","202"
