text,cmp_code
And we've announced key programs to ensure Canada's supply-managed sectors -- and the communities that depend on them -- continue to thrive.,703
"To ensure stability for supply-managed farmers through the implementation of our trade agreements, we've established long-term income and quota guarantee programs.",703
"And we're supporting investment in cutting-edge technologies for our processing sector and marketing of world-class Canadian products, which are of the highest quality.",411
Free trade only works when it's also fair and this means a modern and effective system of remedy when a Canadian company has been treated unjustly.,407
A re-elected Conservative Government will take steps to modernize our system and ensure that it's comparable with the practices and policies of our main trading partners.,407
To this end we'll:   Mandate the Canada Border Services Agency to carry out a full investigation of trade complaints even in cases when preliminary reviews by the Canadian International Trade Tribunal come back negative.,407
"Require the Canadian International Trade Tribunal to carry out an automatic five-year review of every finding of non-compliance, to ensure the conflict has been resolved in a satisfactory manner.",407
"Continue to work with stakeholders such as the Canadian Steel Producers Association to ensure that the system is effective and accessible, and ultimately creates a level-playing field for Canadian businesses.",407
The federal government provides a wide range of programs and services to firms looking to invest in Canada and to Canadian businesses trying to sell their goods and services abroad.,407
These initiatives help attract investment and job creation in Canada,407
and support export-oriented Canadian businesses in their search for new market opportunities and new customers.,407
"There remains, however, room for improvement.",403
The system can be difficult for small firms to navigate.,403
Government efforts to attract investment and promote job creation can sometimes be stymied by a lack of coordination.,407
"A re-elected Conservative Government will establish an Investment and Trade Promotion Office with a mandate to coordinate the government's various efforts to encourage businesses in other countries to invest in Canada,",407
and to promote Canadian exports abroad.,407
The Office will be a one-stop shop to attract investment and product mandates to Canada,407
and help growing Canadian businesses enter new markets.,407
CUTTING RED TAPE,NA
"Small businesses should be focused on creating jobs, not filling out paperwork.",303
That's why our Conservative Government has made it a priority to reduce bureaucratic red tape.,303
We've passed world-leading One-for- One€ legislation that requires bureaucrats to eliminate a current regulation before establishing a new one.,303
We've taken steps to harmonize Canadian regulations with those of our major trading partners.,407
And we've improved the way we consult with small business owners about government policy.,303
"The result of all this is a dramatic change in the culture of the federal government, putting unprecedented emphasis on the needs of Canadian small businesses.",303
And the benefits so far are clear: Small businesses are now spending $32 million less sorting through regulatory red tape.,303
That's hundreds of thousands of working hours Canadians are now spending building their businesses instead of filling out forms.,303
But there's always more that can be done.,303
"A re-elected Conservative Government will build on this record by:   Launching a new round of consultations, asking small business owners across the country for feedback on our current reforms and suggestions for future measures.",303
"Expanding the red tape baseline,€ increasing significantly the scope of the red tape burden subject to the One-for-One rule.",303
"And with a more comprehensive baseline, challenging ourselves to reduce the overall burden by 20 percent.",303
"We'll achieve this goal while maintaining the highest standards in all areas, including health and safety.",303
"To achieve our 20 percent target we will take short-term, immediate action to cut red tape in ways that are real, measureable and meaningful to Canadians.",303
We'll work with the Retail Council of Canada to better harmonize Canada's child car seat regulations with the United States.,303
"This will reduce the red tape burden for our retailers,",303
and at the same time allow them to offer greater choice and better prices to Canadian parents with young families.,401
"And we'll make life easier for the 1.2 million Canadians who claim home-office expense deductions, 80 percent of whom are self-employed.",504
"Anyone who makes a claim once will be able to use the same cost estimates, adjusted for inflation, in subsequent years.",303
MANUFACTURING STRATEGY,NA
"In a fast-changing world, here's one thing that hasn't changed: Canada's manufacturing sector is absolutely vital to our growing economy.",410
"It accounts for about 11 percent of our GDP, 61 percent of Canadian exports, and provides good, secure jobs to almost 1.7 million Canadians across the country.",410
"Indirectly, it employs many millions more.",410
Manufacturing firms pay out $1.85 billion weekly in salaries to Canadian workers across the country.,410
But what is changing is the nature of the work.,411
"It's becoming more skilled, more specialized, and more globally competitive.",411
"Liberal leader Justin Trudeau says that manufacturing's time is passed, that it's time for Canada to transition away€ from manufacturing.",305
Our Conservative Government disagrees.,305
"Manufacturing has played a key role in Canada's economy since before Confederation and, with the right plan, will continue to sustain high-quality, high-paying jobs and economic activity across the country.",410
Our Conservative Government has a positive plan to sustain our manufacturing sector.,410
We're:   Lowering taxes to make it easier for manufacturers to invest in advanced technology and equipment.,411
Helping Canadians acquire the skills and training they need to take advantage of new opportunities in manufacturing.,411
Opening new markets for manufacturers to find customers and sell their products.,407
Making strategic investments to encourage research and development and the creation of new products and technologies.,411
This is what our manufacturing strategy is all about.,305
And it's working.,305
Manufacturing wages are up nearly 20 percent since we've come to office.,410
But there's more to be done to support what the Canadian Manufacturers & Exporters have called our manufacturing renaissance.€,410
"Manufacturers need to invest in new machinery and equipment to remain globally competitive, expand their businesses, and create good new jobs.",410
"To help with this, we've reduced taxes steadily on these investments.",402
A re-elected Conservative Government will carry out our ten-year plan to lower the tax burden on Canadian manufacturers that acquire the machinery and equipment they need to succeed.,402
"Canada is attracting high-quality, value-added manufacturing investment.",410
But more can be done to bolster advanced manufacturing across the country.,410
"A re-elected Conservative Government will support a new Advanced Manufacturing Hub in partnership with employers, our colleges and universities, and other stakeholders to encourage the development of new cutting-edge products and technologies.",402
"The new center, located in Southwestern Ontario, will become a catalyst for high-quality, value-added investment and jobs in the manufacturing sector.",402
"A re-elected Conservative Government will establish a $100-million Manufacturing Technology Demonstration Fund to support large-scale, cutting-edge manufacturing projects in the developmental, pre-commercial stages.",402
This fund will build on our existing significant investments in science and technology to make Canada a world leader in new manufacturing technologies.,411
"We'll also renew the Automotive Innovation Fund for ten years, beginning in 2018-19, at baseline funding of $100 million per year.",402
"This will help to create a stable, predictable environment for new automotive investment in Canada.",402
"In addition, we'll change the program's parameters in the immediate term to include bricks and mortar as eligible expenses",402
and offer grants rather than repayable loans for greenfield investments and investments in existing facilities that guarantee a long-term presence and operation.,402
"We still believe the phrase ""Made in Canada"" translates well around the world: It means high-quality goods built by highly skilled workers, and it inspires confidence that a product is the very best.",601
"And on our watch, Canada will never turn away from this legacy of excellence.¸",601
SKILLS TRAINING FOR NEW AND BETTER JOBS,NA
"A big part of our Conservative Government's agenda has been providing support to those Canadians looking to upgrade their skills for a new job,",411
"enter the skilled trades,",411
or obtain credential recognition for their international training.,411
Having the right skills is often the key to finding a new job or getting a pay raise.,411
"As part of this agenda, our Government has always made a priority of supporting apprenticeships and Canadians working in the skilled trades.",411
"These are the people who are literally building this great country,",411
and one estimate predicts that Canada will need one million more skilled workers by 2020.,411
One measure we've taken to help young Canadians launch careers in the skilled trades is the Apprenticeship Job Creation Tax Credit.,411
"The program has been a resounding success, with the number of businesses using this tax credit rising six fold from about 2,000 to almost 12,000 and nearly 68,000 apprentices.",411
"To build on this success, and to encourage more employers to create more jobs for the next generation of skilled workers, a re-elected Conservative Government will take further steps to support those who wish to enter the skilled trades",411
and to help Canadians wishing to update their skills for a new or better-paying jobs.,411
"These steps include:   Enhancing and extending the Apprenticeship Job Creation Tax Credit raising the amount employers can claim to $2,500",411
and extending the credit into the third and fourth years of an apprenticeship program.,411
"Establishing a new Skilled Trades Job Experience Program to help up to 2,000 young Canadians get valuable job experience working in the skilled trades.",411
"Working with the provinces and territories, employers, and interested post-secondary institutions to develop curriculum that better responds to employer and market needs.",411
Implementing Canada Apprentice Loans to help aspiring tradespeople get the training they need.,411
"Continuing to support skills-training programming such as the Aboriginal Skills and Employment Training Strategy and the Skills and Partnership Fund to help First Nations participate fully in the economy and find high-paying, high-quality jobs.",503
Maintaining programs such as the Opportunities Fund and the Enabling Accessibility Fund to help disabled Canadians participate in the job market.,503
"Canada is a beacon of freedom and prosperity to people all around the world,",601
and attracts countless immigrants every year seeking a better place to raise their families and pursue their dreams.,601
"But too often they find it challenging to pursue their careers here because of difficulties having their professional credentials recognized, leaving them under-employed and unable to maximize both their own potential and their contribution to our country.",503
"In fact, this problem costs the Canadian economy about $2 billion every year.",503
Our Government has worked hard to help new Canadians in this position.,503
In 2011 we launched a pilot program that provided loans to support new Canadians who needed help with training and licensing to have their international credentials recognized here in Canada.,411
"It was a significant success, distributing 2,000 loans across the country and recovering more than 99 percent of the money lent.",411
"So in Economic Action Plan 2015, we made this program permanent.",411
"A re-elected Conservative Government will build on this success story by doubling the size of the program,",411
"and setting a goal of providing as many as 20,000 foreign credential recognition loans over the next four years.",411
"We'll also work with the provinces and territories, through the Pan-Canadian Framework for the Assessment and Recognition of Foreign Qualifications,",301
"to improve the service standards for accreditation decisions for target, high-demand occupations under the Framework from one year to 60 days.",411
The Canada Job Grant is the most important reform to federal skills-training program in decades.,411
The new Canada Job Grant helps employers train new or existing employees for jobs that need to be filled.,411
"It's providing federal grants of up to $10,000 per worker for skills upgrades, on the condition that the training is tied to new or better jobs.",411
The program is working.,305
"Nearly 50,000 grants have been funded to date.",411
A re-elected Conservative Government will continue to support the Canada Job Grant,411
and consider ways to build on its success in other job-training programs.,411
OUR WORLD-LEADING IMMIGRATION SYSTEM,NA
"Canada is a welcoming country and attracts many of the world's best and brightest who are searching for freedom and opportunity, while continuing our tradition of family reunification and refugee protection.",601
"Our Conservative Government has maintained immigration at historically high levels, attracting newcomers who have the skills and experience our economy needs.",705
"Since 2006, we have welcomed over 2.5 million new permanent residents, including 240,000 refugees,",705
and have sworn-in 1.6 million new Canadian citizens.,601
"To ensure that newcomers succeed, while growing the Canadian economy,",410
"the Conservative Government has made important reforms, including:   Moving to a fast and flexible immigration system",303
where the priority focus is on meeting Canada's labour market needs.,403
Creating the Canadian Experience class that invites foreign students who have graduated from Canadian universities and colleges to stay and obtain permanent residency.,705
"Radically improving the geographic distribution of immigrants across Canada, partly by increasing the Provincial Nominee Programs by tenfold.",705
Eliminating massive backlogs created by previous Liberal governments that left aspiring Canadians waiting for years.,303
Establishing a new Expression of Interest system that shifts from a passive processing of applications to fast-tracking of applicants with jobs offers or in-demand skills.,403
"Reforming the Temporary Foreign Worker Program to prevent abuses,",403
and ensure that Canadians always get the first chance at available jobs.,403
"Increasing family reunification by 10%,",503
while introducing the popular new ten-year multiple-entry Super Visa for parents and grandparents.,705
"Cutting the Liberals' right of landing fee in half, saving newcomers hundreds of millions of dollars.",705
"Tripling funding for settlement services, like free language classes and job search skills.",411
Creating free pre-arrival orientation counselling for selected economic immigrants to help them get a head start on credential recognition and finding employment before they get to Canada.,411
"While our government has welcomed a record number of newcomers, we have also strengthened the integrity of our immigration system,",605
"cracking down on those who would abuse Canada's generosity by:   Adopting the Cracking Down on Crooked Immigration Consultants Act,",605
and designating a stronger new regulatory body for immigration consultants.,605
"Combatting immigration marriage fraud with a two-year residency requirement, which has resulted in a significant decline in commercial marriages of convenience.",605
"Reforming the asylum system to ensure that bona fide refugee claimants get protection, and bogus claimants are removed, in months rather than years.",605
This has led to a large reduction in the number of unfounded asylum claims being made in Canada.,605
"Successfully combatting human smuggling, through the adoption of the Protecting Canada's Immigration System Act, which has helped to stop dangerous marine smuggling operations from targeting Canada.",605
"Significantly improving immigration security screening through the adoption of a biometric visa requirement, electronic travel authorization for visa-exempt nationals, an entry-exit information system,",605
and the Faster Removal of Foreign Criminals Act.,605
"These policies are helping to transform Canada's immigration system,",705
"support Canada's economy,",410
and provide greater opportunity to new Canadians.,705
"A re-elected Conservative Government will continue to make the immigration system faster, flexible, and more responsive to the needs of Canada's economy.",303
We'll continue to be a world leader in refugee protection.,503
"We'll increase the intake of applications for the parents and grandparents sponsorship program,",705
as the backlog and processing times continue to decrease.,303
SPURRING INNOVATION AND RESEARCH AND DEVELOPMENT,NA
The marketplace is dynamic.,410
Canadian businesses grow and succeed by staying ahead of the competition.,410
"This means adopting new technologies and developing new goods, services, and processes.",411
Staying ahead means never growing complacent and always innovating.,411
"Our Conservative Government has helped Canadian businesses invest and grow through targeted tax relief,",402
"new financing to develop products and processes,",402
"and partnerships with universities, colleges, and polytechnics to test out new ideas and turn them into the next big technology success story.",411
A re-elected Conservative Government will continue to help Canadian businesses adopt advanced technologies and carry out research and development by:   Implementing the $100 million Automotive Supplier Innovation Program to support product development and technology demonstration by Canadian automotive parts suppliers.,411
Rolling out the $200 million Advanced Manufacturing Fund to support new and innovative products and production methods in Ontario.,402
Working with Canada's world-leading aerospace industry to develop a national supplier development initiative to ensure Canada's aerospace industry remains a global technology leader and a major source of high-quality jobs.,402
"Continuing our participation in the International Space Station which will mean new opportunities for Canada's space industry,",107
and expanding support for Canada's satellite telecommunications sector through its partnership with the European Space Agency.,411
Providing ongoing support to the National Research Council's transformation to better serve the research and development needs of Canadian businesses.,411
This includes ongoing support for the Industrial Research Assistance Program which is helping small-and medium-sized businesses finance research initiatives.,411
"Expanding our support for the National Optics Institute in Quebec City, to continue its leadership in business-oriented optic and photonic research.",411
"We'll also continue to support research and development at Canada's universities, colleges, and polytechnics.",411
"Our Government has invested over $13 billion in science, technology and innovation since 2006.",411
And Canada has consistently ranked first in the G-7 for research and development spending in the higher education sector as a share of GDP.,411
A re-elected Conservative Government will continue to support basic and applied post-secondary research by:   Implementing the $1.5 billion Canada First Research Excellence Fund to support world-leading research projects that create long-term economic advantage for Canada.,411
"Continuing to support the Canadian Foundation for Innovation to finance research infrastructure on university, college, and polytechnic campuses.",411
"We'll provide $1.33 billion over six years, starting in 2017-18, to support the Foundation's ongoing work.",411
"Investing in ongoing support for the Social Sciences and Humanities Research Council, Canadian Institutes of Health Research, and the Natural Sciences and Engineering Research Council.",411
