text,cmp_code
"Building on the First Ministers' Conference (a body ignored by Stephen Harper), we will convene a council comprised of federal, provincial-territorial, municipal-local, as well as First Nations, Mtis and Inuit leaders.",301
"Gathered around the same table, national goals will be developed, publicly and transparently.",301
Each level of government will then implement that part of the plan within its jurisdiction.,301
Policy alignment will ensure the wise use of public dollars.,301
"All levels of government, pulling in the same direction, will put Canada on the path to a prosperous, sustainable future built on fairness and justice.",301
"Green Members of Parliament, united by this vision for Canada, will be your local champions in Ottawa working on behalf of you, your family, and your community.",305
It's time to build a Canada that works.,305
Together.,305
SUSTAINABLE ECONOMY - BECAUSE TOMORROW IS SERIOUS BUSINESS,NA
Canada is teetering on a recession for the second time since Stephen Harper became prime minister.,305
"His ill-advised political pledge to eliminate the deficit he created, just in time for this election, is now risking a deepening recession.",305
"Despite Conservative mismanagement, our economic fundamentals remain sound. We have the technology, we have the people, and we have the resources.",408
We are one of the wealthiest nations in the world in every sense of the word.,408
"Today, our economy produces 50 percent more wealth per capita than it did a generation ago.",408
"Nevertheless, Canadians are feeling more squeezed economically than ever before.",408
"Despite a shift to two-income households, the current generation of young families faces increasing costs for housing, education, and childcare, and unprecedented household debt.",408
"For the first time in our history, older Canadians are saying that their children will not enjoy the same standard of living as they did at the same age.",408
"Meanwhile, our political leaders repeat the mantra that government cupboards are bare.",408
Deep cuts in the tax rate for large corporations have led to a hoarding of cash in big business bank accounts.,408
The former Governor of the Bank of Canada called it dead money€ and there's a lot of it.,408
"Over $600 billion, equivalent to 32 percent of our GDP, is held in corporate bank accounts not being re-invested, not working at all.",408
Dead money.,408
"Old-line parties have ignored places to fund needed programs and instead claim there is no new money for health care services, education, pensions, infrastructure, public safety, or scientific research.",408
There is a serious disconnect between the unprecedented wealth produced by the Canadian economy and the increasing economic insecurity of Canadians.,408
We must take decisive action to build a sustainable economy that benefits all Canadians over the long-term.,416
"We need to immediately build those sectors that benefit from the lower Canadian dollar manufacturing, tourism, value-added forest products and cultural industries.",408
We need to resurrect federal engagement in tourism promotion and support.,408
We need to embrace the 21st century economic revolution of clean technology.,501
These steps will assist in confronting the biggest threat to our economic future the decline in the Harper years of Canadian productivity.,408
"For the first time since records have been kept, Canada is falling far behind the U.S. in productivity.",408
More R & D and innovation will come from manufacturing and clean technology.,416
We are a nation of innovators.,416
"While Harper's policies reversed our economic progress, hitching us to our 19th century role as hewers of wood and drawers of water, Canadians are ready for a sustainable, clean 21st century economy.",416
"BECAUSE TOMORROW IS SERIOUS BUSINESS, OUR TOP ECONOMIC PRIORITIES ARE TO:",NA
1- ESTABLISH A CANADIAN SUSTAINABLE GENERATIONS FUND,NA
"Secure Canada's economic leadership over the coming decade by creating a fund to invest in skills-training,",411
"education,",506
"energy efficiency,",501
"renewables,",501
and emerging technologies.,411
"We will capitalize this fund by expanding revenue through returning corporate tax rates on large corporations to the 2009 level (19 percent),",403
"eliminating tax havens and tax credits used by the extremely wealthy,",403
"taxing pollution and waste,",501
"increasing the efficiency of our tax system,",503
and working with provinces to increase resource extraction royalties.,403
The time has come to redesign our tax system for the 21st century economy.,403
"As a starting point, in line with fundamental principles of fairness, efficiency and equity, we will eliminate the exemptions, special cases and tax breaks for favoured interests",403
"These boutique tax cuts have complicated our tax code, needlessly increasing complexity.",403
"We must ensure the tax system helps, not hinders, Canadians.",403
These changes will ensure that we capture and secure economic benefits for all Canadians.,410
Canada is one of the safest places in the world to invest.,410
"Rather than investing abroad, the majority of the Canadian Sustainable Generations Fund will be invested here in Canada",410
€“ in Canadian jobs,",410"""
"education,",506
"infrastructure,",411
"small-business,",402
and communities.,606
2- ROLL OUT A NATIONAL SUSTAINABLE JOBS PLAN,NA
"Put Canadians to work by investing in well-paying, local, and sustainable jobs in our communities.",416
Building a sustainable economy is serious business.,416
"Boom and bust cycles in the extractive industries have taken a heavy toll on Canadian families and communities, and it's long past time for us to invest in reliable, long-term, local jobs.",416
"The Canadian Sustainable Generations Fund will make critical investments in trades, apprenticeships, and education, and will ensure that all Canadians have the skills and training to prosper today and contribute to building the Canada of tomorrow.",411
"These investments in skills training will complement targeted national infrastructure investments in energy efficiency, renewable energy production, digital upgrades, clean-tech manufacturing, tourism, the creative economy, and emerging technologies.",501
"The gap between the infrastructure funding our cities and towns need, and the funding they receive, is reaching crisis levels Canada's infrastructure deficit is estimated to be upwards of $350-billion.",411
"We will work to close this gap by committing $6.4 billion per year, one point of the GST, to municipal infrastructure providing stable, long-term funding to Canadian municipalities, creating good local jobs, and building vibrant, safe, and livable Canadian towns and cities.",411
"We will create a Canadian Infrastructure Bank to provide more robust and innovative financing and investment partnerships, in order to build safer bridges, better roads, world-class water treatment facilities, affordable housing, efficient public transportation, and expanded broadband access putting thousands of Canadians to work in the process.",411
"We will create additional sustainable jobs by reintroducing and expanding the home renovation tax credit, to create incentives for individuals and companies to make their homes and businesses more efficient and accessible by installing high-efficiency insulation, solar heating and electricity, energyefficient appliances, and accessibility upgrades.",501
"And we will unleash an army of carpenters, electricians and contractors to take outdated and leaky public buildings schools, universities and hospitals and plug the leaks that increase greenhouse gases and costs.",501
These changes alone will reduce carbon emissions by 30 percent nationwide.,501
"3- SLASH CANADA'S STUDENT DEBT TODAY, AND ABOLISH TUITION FEES FOR COLLEGE AND UNIVERSITY EDUCATION FOR STUDENTS AND THEIR FAMILIES",NA
"It's time to break the status quo on education in Canada and abolish tuition fees for college, university and skills training programs.",506
"Whether Germany, Austria, Norway, Sweden, or Finland, many of the world's most successful economies have proven that expanding the public education system to include post-secondary increases prosperity, equality, productivity, and economic competitiveness.",506
"We will start investing in Canada's future by abolishing tuition fees for students without adequate financial means,",506
including removing the inadequate 2% annual cap on increased funding for post secondary education for all First Nations and Inuit students.,506
"Through consultation and collaboration with provincial governments and universities and colleges,",301
"by 2020 we will abolish tuition fees for post-secondary education and skills training for Canadians, guaranteeing that income is never a barrier for qualified students.",506
"It is widely recognized that Canada's success depends on an educated population, yet we burden youth with tens of thousands of dollars in student debt.",506
"As our plan to abolish tuition fees is being phased in, we will invest in the success of current students, jumpstart the Canadian economy,",506
and give our graduates a hand-up by implementing a debt-forgiveness program.,506
"Our plan will eliminate any existing or future student federal debt above $10,000.",506
We will abolish charging interest on new student loans,506
and will increase available funding for bursaries.,506
"It is unacceptable to the Green Party, and should be unacceptable to every Canadian, that the unemployment rate among Canadian youth is twice the national average.",503
The actual youth unemployment rate is likely much higher as many young people have given up on finding that first job and are no longer counted.,503
"Investment in Canadian skills, training, and education is a proven means to create real jobs, and is the backbone of Canada's future as a sustainability superpower.",506
"But for many young people just getting out of school, they face a Catch-22.",503
They cannot get hired in new jobs because they lack experience,503
"But unless they get that first job, they'll never have experience.",503
"Greens will create a national Community and Environment Service Corps, which will provide $1 billion/year to municipalities to hire Canadian youth to do work that needs to be done.",504
4- PARTNERING WITH FIRST NATIONS FOR TRULY RESPONSIBLE RESOURCE DEVELOPMENT IN THE LONG-TERM PUBLIC INTEREST,NA
Building a new era of nation-to-nation respect and partnership starts with recognizing First Nations' inherent rights and title.,301
"We will work together to negotiate comprehensive Indigenous self-governance arrangements, and bury the Indian Act.",301
"Our Council of Canadian Governments will, for the first time, engage First Nations, Metis and Inuit leadership as full partners in inter-governmental decision-making for the good of us all and not solely on indigenous issues.",301
We recognize that First Nations communities have been at the forefront of stalling irresponsible resource development projects like the Enbridge pipeline.,202
"We will work with First Nations and with the provinces to ensure that the responsible development of Canada's natural-resource wealth benefits all Canadians, beginning with the consent of the peoples on whose traditional territories they exist.",202
"Truly responsible resource development means securing Canada's endowment of living systems and natural wealth, by setting strict rules on industrial development to eliminate waste and environmental pollution,",501
"limiting foreign control over Canadian resources,",403
and putting an end to high-risk plans for new raw bitumen export pipelines and tankers.,501
"By investing heavily in advanced skills training,",411
"expanding support for trades and apprentice programs,",411
"and capturing additional value by processing resources here in Canada,",410
we will create good jobs in the resource sector and in local communities.,410
All while ensuring Canadians who call this place home have a say in developing our resources.,202
5- PUTTING CANADIAN SMALL BUSINESS OWNERS FIRST,NA
Ensure Canadian small business owners and entrepreneurs have access to the funds they need to create local jobs and revitalize local economies.,402
Small businesses and the Canadians who own them are the central driver of our economy.,410
They create more jobs than any other part of our economy.,410
"And those incomes and profits remain in the community, providing stable employment.",410
"As an added bonus, their flexible nature allows them to respond to environmental and market demands well before large corporations take action.",410
Putting Canadian small businesses first means reducing red tape for small business owners,303
"and enacting Think Small First€ legislation to ensure that new federal laws and regulations enhance, rather than hinder, an economic environment where local businesses and entrepreneurs can thrive.",303
We will create federally-funded $1 billion per year Green Technology Commercialization Grants to accelerate emerging technologies and give Canadian entrepreneurs a head start.,402
"By facilitating increased access to early-stage financing, the Green Technology Commercialization Grant will help our entrepreneurs compete internationally.",402
"It will help good ideas and emerging technology get to market, growing our sustainable economy and creating good local jobs and opportunities in our communities",402
6- SUPPORTING LOCAL FOOD AND SMALL-SCALE PRODUCERS,NA
"In a time of dominance by global industrial food systems, we want to rebalance the equation by creating resilient local economies fueled by local growers, farmers, and producers.",703
"Markets for local and organic food are growing rapidly, and a new generation of young Canadians want to try their hand at farming, yet starting out remains a daunting prospect, requiring financial risk that many young would-be farmers are unwilling to take.",703
We believe that Canadians who want to enter into agriculture should be supported to do so.,703
"We will fund community supported agriculture, farmers' markets, small-scale farms and producers, and the wineries and microbreweries that Canadians love.",703
"Finally, we will shift government-supported research away from biotechnology and energy-intensive farming and towards organic and sustainable food production.",501
We have the successful twenty-plus year legacy of Environmental Farm Plan assessments to build upon in which tens of thousands of family farms voluntarily adopted more efficient farming practices.,501
STRONG COMMUNITIES - BECAUSE CANADA DEPENDS ON IT.,NA
"At its heart, Canada is a community of communities, working together with a shared sense of purpose.",606
"Our nation needs a government that will invest in the fundamental building blocks on which our neighbourhoods rely from healthcare to transit, child care to public parks, bridges to local agriculture.",504
All with the aim of increasing the affordability and livability of the towns and cities we call home.,504
The current situation is not working for many Canadians.,503
The dream of homeownership and affordable rental housing is slipping away.,503
"Canadians are being asked to pay out-of-pocket for everything from prescription medicine to dental care, while child care is becoming increasingly unaffordable.",503
"Today, even two-income households are having trouble making ends meet month in, month out.",503
"To add insult to injury, consecutive federal governments have allowed critical infrastructure to go without needed maintenance.",411
Lack of investment in the infrastructure that makes our cities productive and our towns livable is risky behaviour.,411
"Crumbling bridges, aging and insufficient transit, nonexistent rail infrastructure these problems are no longer rarities, they have become the norm.",411
We want to invest in our communities just as previous generations invested in the systems we have allowed to fall into disrepair.,411
A modern 21st century economy is undermined by deteriorating infrastructure.,411
"BECAUSE CANADA DEPENDS ON IT, OUR TOP PRIORITIES FOR BUILDING STRONG CANADIAN COMMUNITIES ARE TO:   1- DEFEND CANADA'S PUBLIC HEALTH CARE",NA
Defend single-payer universal health care.,504
Bring all parties back to the table for a renewal of the Health Accord.,301
"Innovate in health care through electronic health records,",504
"patient-centred team medicine built around the family physician working with nurse-practitioners, pharmacists, midwives, naturopaths and others.",504
"Expand health care to cover prescription medication for all Canadians and public dental coverage for low-income youth (under 18 years of age),",504
and increase the emphasis on preventative health care.,504
"Every developed country in the world with a universal health care system provides prescription drug coverage, except Canada.",504
"Truly universal health care means guaranteeing that all Canadians have access to the medication they need, and the Green Party will fight to expand public health care to cover prescription medication.",504
"We will implement a National Pharmacare Plan that, through the advantage of bulk buying, will actually save Canadians $11 billion each year.",504
"It will especially benefit senior citizens, who spend the most on prescription medication, and it will allow physicians and doctors to better track if patients are at risk of dangerous over-medication.",504
We will be far more rigorous in assessing new drug applications.,504
We will apply the gold standard for pharmaceutical review to ensure we reject drugs shown to hurt more people than they heal.,504
"At the same time, our Pharmacare Plan will provide much needed coverage to the millions of Canadians who are forced to pay out-of-pocket for prescription medication every year.",504
"It is appalling that in a country as wealthy as Canada, our children do not have guaranteed no-cost access to high quality dental care.",504
"In order to address the crisis among the most marginal in our society, we will expand our public health care coverage to include dental coverage for low-income Canadians under the age of eighteen.",504
Canadians know that the best way we can reduce the burden on our health care system is to work to ensure we don't get sick in the first place.,504
"Despite this, our medical system focuses disproportionately on cure and not enough on prevention.",504
"We will work with the provinces to develop preventative health care guidelines that incentivize active lifestyles and healthy diets, saving our system millions by keeping Canadians healthy from childhood onwards.",504
"As a first order of business after the election, we will ensure the National Conference on Lyme Disease, required by law in the Green Party's first bill, will develop a national strategy to confront this growing threat.",504
It is scheduled for November to be chaired by the federal Minister of Health.,504
"As part of the big picture project of creating healthy communities, we will adopt stricter regulations to prohibit cancer-causing chemicals in our food and consumer products.",403
The Green Party supports expansion of CPP as the most reliable and predictable pension plan.,504
2. IMPLEMENT A NATIONAL SENIORS STRATEGY,NA
"The Conservative approach to public policy is a series of unrelated, gimmicky, vote-buying schemes.",305
Canada's seniors deserve better.,706
"We will work through the Council of Canadian Governments to develop a National Seniors Strategy with the following elements:  A Housing plan,",504
"with affordable, predictable home care support;",504
A Guaranteed Livable Income to ensure no Canadian lives in poverty;,504
Pharmacare strongly benefits seniors;,504
"A National Dementia Strategy,",504
including more long-term care beds in neighbourhood facilities;,504
An approach that supports aging in place€;,504
"Pension protection,",504
expansion of CPP;,504
Promotion of intergenerational programs that allow our kids from toddlers to high school students to visit seniors and develop relationships that have proven benefits to both generations;,606
Convenient and safe public transport to support independent living;,411
Access to the equity in homes to support day-to-day living expenses;,504
Addressing the Supreme Court of Canada decision to allow physician-assisted death.,604
"The most extreme challenges of aging are experienced by seniors living in poverty, a disproportionate proportion of whom are women.",503
"While the percentage of seniors living in poverty dropped dramatically from a high of approximately 30 percent in 1976, to a low of 4.7 percent in 2007, the poverty rates for seniors have begun to move up once again 5.8 percent in 2008.",503
We cannot be complacent about the economic struggles of seniors.,503
The Green Party supports expansion of CPP as the most reliable and predictable pension plan.,504
3. ELIMINATE POVERTY AND CHALLENGE INEQUALITY,NA
"Implementing a Guaranteed Livable Income,",504
"ensuring equal pay for equal work,",503
"and ensuring high quality child care for every Canadian family who wants it,",504
while providing a school nutrition program providing healthy food to kids in school to help them learn better.,504
"Despite the growing number of two-income households, Canadian families are finding it harder and harder to make ends meet.",503
"Green Party programs and policies will reduce income inequality, and ensure all Canadians have the opportunity to prosper.",503
"We will phase-in a national Guaranteed Livable Income, to ensure that no person's income falls below what is necessary for health, life and dignity.",504
Through the Council of Canadian Governments we will work with the other levels of government,301
"whose inadequate poverty band-aid solutions (such as welfare, disability programs) can be rolled up in order to fund Guaranteed Livable Income.",504
"Providing our most at-risk citizens with the resources they need to make ends meet greatly reduces the burden on our emergency and social services, our health care and criminal justice systems saving Canadian society money and empowering all citizens to overcome periods of hardship.",504
"As an immediate first step, the Green Party would implement a federal minimum wage of $15 an hour.",412
"By providing a cheque to every Canadian over 18, the carbon fee and dividend system will also assist in providing help to those who need it most.",504
We will implement a National Housing Strategy based on Housing First principles.,504
"Housing First is a proven, recovery-oriented approach that centres on quickly moving people experiencing homelessness into independent, permanent housing,",504
and then providing additional supports and services as needed.,504
"This strategy will guarantee dignity and support for Canadians at the margins of our society, and will help address homelessness while at the same time reducing the burden on our emergency and health services.",504
"Our Housing Strategy will address the continuum of needs from social housing for those in poverty or dealing with mental health and addiction problems, to First Nations, Metis, and Inuit housing crises, to the market failures depriving those with even a decent income of access to the affordable housing they need.",504
"We can ensure that all housing needs are met whether seniors, youth, or the stressed middle class.",504
"It is a black mark against Canada that, in 2015, Canadian women earn, on average, $8,000 less per year than their male counterparts for doing the same jobs.",503
"We will fight to end gender-based discrimination in the workplace and in Canadian society at large,",503
and ensure that Canada eliminates the gender wage gap once and for all.,503
"Although we must continue to work to address deeply-rooted gender bias in Canadian society, it will take time.",503
One important step is ensuring high-quality affordable child care.,504
"We will work with the provinces, territories and Indigenous communities",301
"to establish accessible, convenient, enriched and affordable child care spaces for any Canadian family that seeks it.",504
We will support women to re-enter the workforce whenever they choose after having children.,504
"The Green Party believes that workplace childcare has many advantages enhanced parenting time and access to children through the work day, extension of breast-feeding opportunities, improved employee productivity, and improving the convenience of public transport when parents and kids share their morning destination.",504
Tax breaks to employers for the creation of child care spaces is one tool among many we will use to ensure that families have the spaces they need.,504
4. BUILD STRONG FIRST NATIONS AND INDIGENOUS COMMUNITIES,NA
We need to move to implement the findings of the Truth and Reconciliation Commission.,705
"The path to justice, healing and reconciliation begins with accepting a painful truth: the horrors of the residential school system constituted a policy of cultural genocide.",705
There is no way to undo the damage nor to compensate for the grief and loss of many generations of children and families.,705
"The truth is hard to absorb, but absorb it we must.",705
"True reconciliation will take time, and while we work to build a new, nation-to-nation partnership based on mutual respect and understanding, there are urgent and important steps that must be taken by the federal government to put the relationship on firmer footing.",705
"We begin by recognizing indigenous rights and title,",301
"and will negotiate in good faith to settle land claims, establish treaties and self-government arrangements, and move to repeal the Indian Act should that be the consensus of First Nations.",301
We will respect the rights of First Nations to take leadership of development projects on their traditional territories.,301
"Creating opportunity for indigenous communities and their people means ensuring access to quality public services for all First Nations, Metis and Inuit.",504
"It requires adequate funding for housing,",504
"education,",506
"and health care, both on and off reserves.",504
"We will work to expand rural health care infrastructure by investing in telehealth and mobile medical units, to ensure indigenous communities have access to critical care.",504
The ongoing crisis of missing and murdered indigenous women must be urgently addressed.,503
We will launch a national inquiry,503
and fight to ensure that structural violence against indigenous communities is addressed.,503
"We also recognize the critical importance of defending languages and cultures,",607
and will provide new federal funding for culturally appropriate education in traditional languages.,607
5. REVERSE CBC-RADIO CANADA FUNDING CUTS,NA
Investing an additional $285-million in the first year of our new Green Parliament,502
and $315 million in every subsequent year to protect our national broadcaster.,502
"We will ensure Radio Canada and CBC have adequate and stable funding,",502
"reversing the Harper Conservatives' $117-million cut,",502
and investing an additional $168-million and $315 million every year thereafter to rebuild the CBC and Radio-Canada's local coverage and capacity.,502
We will also restructure the governance structure of the public broadcaster to end the political influence of partisan cronies being appointed to the board.,304
"We need to re-invest in a CBC/Radio-Canada that is distinctly public and distinctly Canadian, ensuring our public broadcaster has the resources and expertise to provide quality local news coverage from our biggest communities to our smallest.",502
"The CBC and Radio Canada define what it means to be Canadian by covering the unique, the unconventional, and the truly Canadian.",601
We'll make sure it has adequate and sustainable funding so it can continue to enrich our lives for years to come.,502
"In addition, we will increase funding to all of Canada's arts and culture organizations including the Canada Council for the Arts and Telefilm Canada.",502
"In addition to restoring funding to CBC and Radio-Canada,",502
"we will work to rebuild the arm's length governance of our arts and cultural institutions to prevent political interference,",304
"prevent further monopolization of Canadian media,",403
and defend the freedom and integrity of the internet by enshrining the principle of net-neutrality€ in Canadian legislation.,201
We must be very concerned about the threat of the Trans-Pacific Partnership and its Crown Corporation provisions.,406
"If adopted, it could undermine our ability to maintain many public services provided through Crown corporations, including to our cultural industries.",406
6. PROTECTING CANADA POST,NA
Daily mail service to everyone's front door.,413
Canadians in the 21st century deserve postal service to their doors.,413
"Canada Post is experiencing a decline in letter service, but an increase in parcel delivery.",413
The impact of the internet cuts both ways: more emails reduce letters by post; on-line shopping has increased parcels.,413
Small business is very dependent on postal service.,413
We cannot afford to lose a strong Canada Post.,413
"Fortunately, Canada Post is still profitable.",413
It can be sustainable and profitable into the future.,413
CUPW has long advocated a diversification of services.,413
This is particularly valuable as Canada Post is in every community big and small.,413
"As commercial banks have withdrawn their physical presence in many communities, Canada Post can offer much needed services.",413
"Other countries have allowed their postal services to sell insurance, provide banking services and other services to remote communities.",413
Perhaps the best model is Israel where postal service has been diversified with over 70 different products and services.,413
We will reverse recent decisions to reduce home delivery,413
and we will set Canada Post on a profitable course for its future.,413
7- KEEP OUR COMMUNITIES SAFE,NA
Creating peace of mind for Canadians by reversing funding cuts,605
"and re-investing in disaster preparedness,",605
"training,",104
and equipment for our forces on the frontlines of keeping our communities safe.,104
"We must make sure that the Canadians tasked with keeping us safe are fully-resourced, well-trained, and equipped to fulfill their mission from the Canadian Forces",104
"to civilian forces like the Coast Guard, Park Rangers, Fisheries Patrol, Canadian Space Agency, and Northern Rangers.",605
We will re-open the shuttered Coast Guard stations on our coastlines.,605
Keeping our communities safe means strengthening Canada's defence capacity by prioritizing roles and missions for our forces that focus on peacekeeping;,107
defensive missions with our allies;,104
"border, northern, and coast guard patrols;",605
search and rescue missions;,605
and patrolling our parks.,605
Recognizing the critical role that our forces play also means respecting and truly taking care of our veterans.,504
"Canadian veterans deserve our grateful and ongoing support, including secure and generous pensions.",504
Our veterans should never be forced to fight in the courts to secure their long-term benefits or to ensure that Veterans Affairs disability pension promises are honoured.,504
"We will re-open the Veterans Affairs offices across Canada, reversing the $200 million cut to Veterans Affairs.",504
"Our veterans deserve more than to be left on hold with a government 1-800 number that is never answered, instead of the help they need from a compassionate person who knows their situation.",504
We will ensure access to service dogs trained to assist veterans suffering from Post- Traumatic Stress Disorder.,504
"Perhaps most importantly, keeping our communities safe means building Canada's disaster preparedness capacity.",605
"We will invest in comprehensive earthquake, forest fire, flooding and tsunami response plans to bring Canadian disaster readiness up to world-class standards, so we can more ably respond to the extreme weather events that are becoming more common as the climate changes.",605
GOOD GOVERNMENT - BECAUSE IT'S TIME TO RESTORE DEMOCRACY.,NA
"Good government is founded on prudent planning and rational, evidence-based decision-making in the public interest.",202
"Good government provides long-term stability, security from threats both domestic and abroad, and a vision that stretches well beyond fouryear election cycles.",202
"To deliver on these basic principles, government needs to engage with, and be responsive to, the concerns of Canadian citizens.",202
"The critical first step in this process is to ensure we have a government that represents the will of the people that means an end to first-past-thepost voting, an end to false majorities, and the creation of a voting system that ensures all Canadians have a voice in our government.",202
The Green Party is the only party committed to ending whipped votes.,202
"MPs from the other parties in Parliament routinely face whipped votes they must vote the party line or face punishments, such as not being allowed to speak in the House or even being thrown out of the party.",202
No Green MP will ever face a whipped vote.,202
They will be free to put their conscience and their constituents first.,202
"That is the commitment Green candidates make, to be your voice in Ottawa, your local champions.",305
"BECAUSE IT'S TIME TO RESTORE DEMOCRACY, OUR TOP PRIORITIES ARE TO:   1- ELECT MEMBERS OF PARLIAMENT WHO ARE HONEST, ETHICAL, HARD-WORKING REPRESENTATIVES FOR THEIR CONSTITUENTS AND CHAMPIONS FOR THEIR COMMUNITIES",NA
When you look at the Green candidates across Canada you will not find a single career politician.€,305
"You will find people with impressive resumes whether in science, law, academia, teaching, public policy, small business, the arts, journalism, First Nations leadership, municipal government, community organizing and volunteerism, and medicine.",305
The health of our democracy depends on electing Members of Parliament who are accountable to their constituents.,202
"Following Elizabeth May's example, Green Members of Parliament will work tirelessly on behalf of their communities",305
and never abuse the public trust placed in them.,304
"Green MPs will conduct themselves with integrity and civility,",305
"treat others with respect,",305
and never heckle in the House of Commons,202
Green MPs will always keep the interests of Canada paramount,202
and never be told to vote against the interests and well-being of their constituents.,202
"Green MPs will seek constructive solutions to issues in their local communities, striving to create dialogue and solve problems when they arise.",202
"Green MPs will publish their expenses online, to ensure maximum transparency and accountability,",304
and never use Parliamentary resources for party or personal benefit.,304
2- RESTORE CANADIAN PUBLIC SCIENCE AND THE ROLE OF EVIDENCE IN OUR DECISION MAKING,NA
Good policy and keeping government accountable depends on good information.,303
"Under Stephen Harper, Canada moved from evidence-based policy making to policy-based evidence-making.",305
Funding for basic research and scientists in Canada is at an all-time low; research at small universities is disappearing and we are rapidly losing our capacity for long-term innovation.,305
"As a result of the Harper Conservatives' decision to eliminate the long-form census, Canadian researchers, tracking everything from poverty to public health, know less and less about our country as time progresses.",305
"Science, evidence, and transparency together form the backbone of informed decision-making.",303
We will immediately restore the long-form census to ensure that Canadian researchers and policy-makers have access to the latest data.,303
"Canadian scientists, both inside and outside of government, must have the freedom to pursue important discoveries, without looking over their shoulders and worrying about whether their work is industry relevant€ or subject to political interference in funding decisions.",303
We will fight to ensure Canada remains a world leader in discovery science by enacting Public Access to Science legislation to ensure our scientists are unmuzzled and free to discuss their findings with the media and the Canadian public without censorship or political interference.,201
Our open science legislation would also ensure that all government-funded scientific research is publicly accessible by law.,201
"We will begin to rebuild the public scientific capacity lost during the past decade by providing $75-million annually to add critical science capacity to Environment Canada, Health Canada, Parks Canada, and Fisheries and Oceans.",411
"We will implement new legislation to ensure that any new laws or regulations are based on sound evidence that is transparent, rigorous, ethically produced, easy to access and understand, based on the best available information and free from political manipulation",303
Elizabeth May's bill (which died on the order paper due to the August 2 writ) will be re-entered to mandate that all publicly-funded science must be published.,303
